id;city_id;type_id;total_area;rooms;ceiling_height;floors_total;living_area;floor;is_apartment;open_plan;kitchen_area;balcony;airports_nearest;parks_around3000;ponds_around3000
64;R9I0;F8EM;44,3;2;2,5;5;29;5;0;0;5,3;;;;
65;6X8I;F8EM;57;3;2,5;5;39;2;0;0;7;;35361;0;0
66;187Y;IZIQ;34;1;2,6;17;17,4;8;0;0;11,5;2;;;
67;3I7C;F8EM;31;1;2,5;5;15,4;4;0;0;7,2;;47675;0;2
68;E836;9N9J;74;3;2,8;5;44;1;0;0;8;2;;;
69;0SI2;F8EM;50,7;2;2,6;5;28,9;5;0;0;9;2;;;
70;6X8I;F8EM;30;1;;5;16;1;0;0;7;;39053;1;0
71;6X8I;F8EM;57,5;3;2,5;9;39;8;0;0;6,2;;33623;1;1
72;IQ4Z;F8EM;55;2;2,7;3;35,5;2;0;0;7,5;1;68258;3;3
73;4T1U;IZIQ;73,8;3;;10;44,8;1;0;0;10,4;0;53817;0;3
74;FJEG;F8EM;34;1;2,5;9;19;8;0;0;7,1;;26765;1;1
75;6X8I;F8EM;44;2;2,7;23;21;19;0;0;15;2;15749;0;0
76;A7AP;F8EM;55,1;3;2,6;5;38,4;1;0;0;4,9;;;;
77;6X8I;F8EM;62,1;3;2,55;5;43,5;1;0;0;7,3;0;19646;1;2
78;6X8I;F8EM;37;1;;19;18;6;0;0;10,7;;34324;0;0
79;A7AP;F8EM;55,7;3;2,5;4;42,6;4;0;0;7;;;;
80;TXOA;9N9J;79,1;3;3;15;45,23;1;0;0;11,95;1;;;
81;6X8I;F8EM;68;1;;10;;6;0;0;;;;;
82;FMVZ;IZIQ;80,5;3;;25;;16;0;0;;;12430;0;0
83;4T1U;IZIQ;41,4;1;2,7;25;16,5;20;0;0;10,2;;53554;0;0
84;A7AP;F8EM;43,9;2;;2;27,46;1;0;0;5,2;;;;
85;6X8I;F8EM;46,3;2;3;5;27,8;5;0;0;8;;13334;0;1
86;24KS;IZIQ;63;2;;11;36;3;0;0;9;2;26128;0;0
87;6X8I;F8EM;52;2;2,61;9;30;6;0;0;9;2;12444;0;1
88;4UT1;EQUI;33,1;1;;5;18,4;1;0;0;6,4;;;;
89;23CI;EQUI;63;3;2,5;5;43;4;0;0;9;;;;
90;6X8I;F8EM;67,7;3;;9;40;4;0;0;8;1;32668;0;0
91;H3PW;IZIQ;54;2;;3;28;1;0;0;8,5;0;;;
92;WVV2;EQUI;72;2;;12;45;4;0;0;10;;;;
93;6X8I;F8EM;40,4;1;2,75;9;20;7;0;0;10;1;32574;1;0
94;6X8I;F8EM;29,5;1;2,5;5;15,6;2;0;0;5,5;1;12921;0;0
95;6X8I;F8EM;47;2;2,75;9;28,1;9;0;0;7;2;10142;2;1
96;6X8I;F8EM;78,3;3;2,5;15;51;9;0;0;11;;52108;0;1
97;0SI2;F8EM;146;4;;2;77;2;0;0;13;;;;
98;6X8I;F8EM;80;3;;5;55,1;3;0;0;11;0;11248;1;0
99;6X8I;F8EM;90;4;;5;67;2;0;0;8;;23277;0;0
100;6X8I;F8EM;38,6;1;;9;18;6;0;0;8,4;2;36450;0;0
101;3CZ4;N8E6;37;1;2,75;10;12;3;0;0;13;;;;
102;6X8I;F8EM;33;1;;14;18;2;0;0;6,2;1;49214;0;0
103;6X8I;F8EM;35;1;2,7;25;17;9;0;0;9;;42499;0;0
104;6X8I;F8EM;77,2;4;2,6;9;61;1;0;0;6;;12403;0;1
105;6X8I;F8EM;32;1;;25;15;5;0;0;9;;52480;0;1
106;6X8I;F8EM;124,1;5;3,2;4;79,4;3;0;0;20;0;26825;1;0
107;6823;F8EM;101;4;3;3;73;3;0;0;9;1;20746;3;3
108;6X8I;F8EM;80;3;2,55;10;46;7;0;0;11;1;35958;0;0
109;VLGF;F8EM;62,5;2;;5;35,5;5;0;0;9,5;;14517;1;0
110;R8HW;9N9J;72,3;2;;3;27,4;2;0;0;23,6;0;;;
111;6X8I;F8EM;40;1;;6;18;1;0;0;10;0;20062;1;0
112;Y04Q;F8EM;33,3;1;2,55;9;19;3;0;0;7;2;;;
113;4T1U;IZIQ;78;3;;27;45,4;27;0;0;10,8;2;53134;0;0
114;6X8I;F8EM;21,4;1;2,9;8;8,3;7;0;0;6,3;;27089;2;1
115;6X8I;F8EM;42;2;;5;27;4;0;0;6,5;;43019;0;0
116;6X8I;F8EM;97,2;3;2,5;16;;16;0;0;18,3;5;19426;0;2
117;6X8I;F8EM;84,7;3;3,2;5;55,9;4;0;0;8,4;1;37889;1;0
118;6X8I;F8EM;31;1;2,5;9;17;4;0;0;5;;35445;0;2
119;6X8I;F8EM;67;3;;6;42,5;2;0;0;8,2;2;37836;1;1
120;IQ4Z;F8EM;30,9;1;2,75;5;16,7;1;0;0;6;;68997;1;2
121;6X8I;F8EM;180;3;2,9;9;86;8;0;0;24;4;25689;1;0
122;S4Y8;F8EM;60;2;2,5;5;31,5;2;0;0;9;2;;;
123;6X8I;F8EM;48;1;;22;14;5;0;0;23,8;;16951;0;1
124;6X8I;F8EM;87,8;3;;12;45,1;3;0;0;24;1;32746;0;1
125;6X8I;F8EM;65,9;3;2,55;9;48,5;8;0;0;6,3;;44855;0;0
126;VLGF;F8EM;51;2;;5;30,5;1;0;0;6,6;;17974;1;1
127;6X8I;F8EM;55;2;2,5;11;31,9;3;0;0;8,3;;31398;0;0
128;3I7C;F8EM;31;1;2,75;3;19,5;1;0;0;5;;48649;0;2
129;6X8I;F8EM;32;1;2,5;9;18;3;0;0;8;;49587;1;0
130;ZYPN;F8EM;49;2;2,8;8;31;8;0;0;6;2;;;
131;O5K1;F8EM;71,1;3;2,5;5;41,9;4;0;0;9;2;;;
132;YVBQ;F8EM;33;1;2,5;9;19;7;0;0;6;;45332;0;0
133;187Y;IZIQ;31;1;;25;;6;0;0;;;;;
134;6X8I;F8EM;33,7;1;2,65;17;15,1;3;0;0;7,3;;35452;0;1
135;E66G;F8EM;48;1;3,25;5;20,5;1;0;0;17;;57998;0;2
136;6X8I;F8EM;51,8;2;3,45;6;25,6;2;0;0;7,3;1;20502;2;1
137;6X8I;F8EM;85,1;2;2,7;10;31,52;5;0;0;26,85;1;31460;1;3
138;6X8I;F8EM;40;2;;3;29;2;0;0;6;;23371;0;2
139;WVV2;EQUI;31;1;2,5;5;17;3;0;0;5,5;1;;;
140;VLGF;F8EM;105,7;2;2,7;3;48,4;1;0;0;15,4;;14352;3;3
141;6X8I;F8EM;32,6;1;;5;18,5;5;0;0;5,5;;24764;0;0
142;MY8E;9N9J;86,2;3;2,75;12;49,6;9;0;0;17;1;;;
143;6X8I;F8EM;30;1;2,5;9;20;9;0;0;5,6;0;30067;0;1
144;187Y;IZIQ;27;0;;24;15,5;2;0;0;;2;;;
145;6X8I;F8EM;77;2;2,77;16;40;5;0;0;10;1;30012;0;1
146;E66G;F8EM;53,6;2;2,55;10;29,2;10;0;0;7,8;1;60883;1;2
147;6X8I;F8EM;179,6;5;2,85;25;97,2;25;0;0;33,8;2;19424;0;1
148;6X8I;F8EM;35,5;1;2,65;25;17;20;0;0;9;;36688;0;2
149;6X8I;F8EM;53;2;2,65;12;31,5;6;0;0;7,6;;10128;2;1
150;6X8I;F8EM;45;2;;5;29;3;0;0;6;;39793;0;0
151;2CQ7;IZIQ;44,9;2;;5;28;3;0;0;5,4;1;;;
152;6X8I;F8EM;81,22;3;2,64;24;42,9;10;0;0;12,72;1;17755;0;1
153;YVBQ;F8EM;55;2;2,57;9;31,2;2;0;0;8,3;0;45958;1;0
154;6X8I;F8EM;80;3;4,15;3;44,2;2;0;0;12,2;;20562;2;1
155;6X8I;F8EM;317;4;3,5;3;183;3;0;0;;1;22673;2;3
156;6X8I;F8EM;80;2;2,75;22;34;19;0;0;19;2;34967;0;1
157;6X8I;F8EM;75,75;2;2,7;22;40,61;3;0;0;15;2;51531;0;0
158;IVEB;LVBX;47,3;2;;5;27,5;2;0;0;8,5;;;;
159;6X8I;F8EM;66;3;3;4;37,8;4;0;0;11;;26235;0;1
160;FMVZ;IZIQ;41,9;1;;7;15,4;7;0;0;12,4;2;18240;0;1
161;6X8I;F8EM;42,9;1;2,75;23;18,9;8;0;0;7,9;1;43269;1;0
162;6X8I;F8EM;66;3;2,5;9;48;9;0;0;6,3;;45589;1;0
163;6X8I;F8EM;67,4;3;2,65;17;40,1;6;0;0;10,3;1;33745;0;1
164;JTQH;EQUI;40,3;2;;3;;1;0;0;;2;;;
165;E66G;F8EM;60,2;2;2,5;4;;2;0;0;10,2;;54526;0;0
166;VVDT;IZIQ;60;2;;3;;1;0;0;;;;;
167;6X8I;F8EM;35,1;1;2,75;23;15,9;1;0;0;9,8;;22314;0;1
168;OK3M;9N9J;73;3;;5;43,4;5;0;0;8,4;;;;
169;6X8I;F8EM;85;3;2,8;17;51,8;17;0;0;17,5;0;16057;0;0
170;4ETD;IZIQ;73,5;3;2,6;5;46;5;0;0;8;;;;
171;FMVZ;IZIQ;49;2;2,5;9;38;8;0;0;10;1;18471;0;0
172;23CI;EQUI;73,3;3;2,5;5;47,4;3;0;0;8,3;2;;;
173;6X8I;F8EM;97,9;3;2,75;16;57,7;3;0;0;14,7;1;14069;0;0
174;R9I0;F8EM;31,6;1;;5;17,5;4;0;0;5,5;1;;;
175;BQCG;IZIQ;52;2;2,6;5;31;3;0;0;10;1;;;
176;6X8I;F8EM;52,56;1;;24;15,36;2;0;0;20,91;;43396;0;0
177;6X8I;F8EM;154,9;4;3,3;16;89,11;3;0;0;21,3;;37434;1;2
178;6X8I;F8EM;153;4;2,71;10;89,4;10;0;0;;1;52130;0;2
179;6X8I;F8EM;108,7;3;4;5;72,4;5;0;0;8;;23017;1;0
180;6X8I;F8EM;31,7;1;2,5;5;17,9;2;0;0;5,6;2;10709;0;0
181;6X8I;F8EM;71,8;3;3;5;38,7;1;0;0;12;;22036;0;1
182;R27I;F8EM;60;3;2,5;5;44,1;1;0;0;6;;26090;0;0
183;HJEX;IZIQ;43,8;2;2,7;5;27,7;2;0;0;5,5;0;31458;0;0
184;6X8I;F8EM;30,2;1;2,65;9;26,1;5;0;0;6,2;;13952;0;1
185;6X8I;F8EM;49,9;1;3;16;18,9;14;0;0;10,6;;12114;1;1
186;6X8I;F8EM;65,2;2;;;30,8;4;0;0;12;;39197;1;0
187;6X8I;F8EM;52,3;2;;12;29,8;4;0;0;10,9;;32794;0;0
188;6X8I;F8EM;38,5;1;2,5;12;18,5;5;0;0;;;49065;1;0
189;6X8I;F8EM;62;3;;9;41,5;5;0;0;8,5;2;41954;1;0
190;6X8I;F8EM;62,8;3;;9;39,7;2;0;0;9,7;0;12988;0;2
191;6X8I;F8EM;55,8;3;2,5;9;38;2;0;0;7,7;2;19386;0;0
192;187Y;IZIQ;39,4;1;;24;19,2;9;0;0;11;0;;;
193;6X8I;F8EM;83,8;4;2,47;9;55,9;9;0;0;9,8;1;30352;0;1
194;6X8I;F8EM;85;3;2,7;10;50;1;0;0;11;;15923;0;1
195;6X8I;F8EM;60;3;;9;;4;0;0;;0;52072;1;3
196;6X8I;F8EM;57;1;;5;20;5;0;0;16;0;17462;1;2
197;W0ZR;F8EM;46;2;;5;;2;0;0;;1;;;
198;Y04Q;F8EM;35;1;2,7;17;16,1;17;0;0;8,3;2;;;
199;187Y;IZIQ;37,4;1;2,73;12;17;4;0;0;;;;;
200;3I7C;F8EM;98,3;3;2,84;13;60,3;11;0;0;12,5;1;48910;0;2
201;6X8I;F8EM;123,1;6;3,2;5;89;2;0;0;11;;26009;2;0
202;6X8I;F8EM;67;3;2,7;9;43,4;1;0;0;8,8;2;15361;0;0
203;6X8I;F8EM;34,1;1;2,7;25;14,47;12;0;0;10,4;0;18488;0;0
204;3I7C;F8EM;44,2;2;2,5;9;27;3;0;0;6,3;2;46926;0;1
205;HJEX;IZIQ;30,6;1;2,56;5;17,4;4;0;0;5,7;;31366;0;0
206;6X8I;F8EM;31,3;1;2,5;7;16;4;0;0;7,6;1;27753;1;1
207;6X8I;F8EM;72,6;2;2,9;5;43,2;4;0;0;11,4;;22794;2;3
208;WBH1;9N9J;42,5;1;2,6;5;17,2;5;0;0;8,4;;;;
209;6X8I;F8EM;45;2;2,5;9;27,4;4;0;0;8,6;;42566;0;0
210;FMVZ;IZIQ;58,5;2;;9;28,73;7;0;0;11,24;1;18309;0;1
211;6X8I;F8EM;54;2;2,77;18;31;10;0;0;11;;7659;0;0
212;6X8I;F8EM;82;3;;23;47;9;0;0;13;1;9655;1;1
213;6X8I;F8EM;111,4;4;3,1;4;73,2;2;0;0;14,1;;20936;1;3
214;6X8I;F8EM;50,41;2;2,5;9;31,1;8;0;0;7;1;41954;1;0
215;Y04Q;F8EM;67;3;2,7;9;42,2;8;0;0;5,5;;;;
216;6X8I;F8EM;65,6;2;2,55;10;36,7;10;0;0;10,9;2;11657;1;1
217;6X8I;F8EM;79;4;2,6;9;55,3;6;0;0;10;1;49666;0;0
218;6X8I;F8EM;35;1;2,7;17;16;15;0;0;9,8;1;36237;0;0
219;6X8I;F8EM;58,7;1;;7;17;3;0;0;15,7;;24102;1;0
220;6X8I;F8EM;37;1;2,5;25;28;6;0;0;9;;25408;0;0
221;6823;F8EM;43;2;;4;28;1;0;0;6;;19775;2;1
222;6X8I;F8EM;59,6;2;;25;31,48;17;0;0;13,29;;43074;0;0
223;3XN0;9N9J;35,4;1;2,6;5;18,2;1;0;0;9,8;;;;
224;Y04Q;F8EM;61,4;2;;16;34;8;0;0;14;0;;;
225;Y04Q;F8EM;58,9;2;2,6;5;31,5;3;0;0;12,9;1;;;
226;6X8I;F8EM;86,4;4;;3;52,7;1;0;0;12,7;;31729;0;0
227;N6YS;IZIQ;47;3;2,34;5;;1;0;0;;;;;
228;Y04Q;F8EM;46;1;2,77;4;19,3;3;0;0;11;;;;
229;6X8I;F8EM;74,3;3;;24;41,9;3;0;0;16,5;;43820;0;0
230;6X8I;F8EM;34,3;1;;11;14,73;7;0;0;9,36;;22425;0;2
231;6X8I;F8EM;56,9;3;;9;38,8;8;0;0;6,2;2;32350;0;0
232;6X8I;F8EM;42,2;1;;14;14,7;4;0;0;10,4;;23239;1;1
233;6X8I;F8EM;118;3;2,8;25;62;3;0;0;21,5;;36827;1;1
234;6X8I;F8EM;57;2;;5;33;3;0;0;8;;26852;2;0
235;FJEG;F8EM;60;2;3,4;3;37,8;1;0;0;9;;25670;3;3
236;6X8I;F8EM;35,8;1;2,5;14;20,3;2;0;0;7,7;0;46532;0;0
237;6X8I;F8EM;28,1;1;;;20,75;1;0;0;;0;22041;0;1
238;6X8I;F8EM;43,4;1;;24;;2;0;0;12,4;2;23982;0;0
239;6X8I;F8EM;119;3;3,5;5;56;3;0;0;35;0;21698;1;1
240;6X8I;F8EM;42;2;2,7;5;27;2;0;0;6;1;11944;0;0
241;6X8I;F8EM;55;2;2,8;16;29;6;0;0;10;2;41841;1;0
242;6X8I;F8EM;57;2;;6;29;5;0;0;10;;9226;1;0
243;O5K1;F8EM;36,2;1;2,5;4;20;1;0;0;9;1;;;
244;6X8I;F8EM;57,1;2;;9;29,5;4;0;0;9;0;9774;1;0
245;6X8I;F8EM;46,4;1;2,5;16;18;5;0;0;11,5;1;9968;0;0
246;6X8I;F8EM;52,5;2;2,6;14;29,5;11;0;0;7,5;2;13787;0;0
247;LV8Y;F8EM;31;1;;3;;1;0;0;;;;;
248;6X8I;F8EM;31;1;3;17;10;6;0;0;;0;39771;1;0
249;R27I;F8EM;70,5;3;2,65;9;44,9;9;0;0;10,5;1;25594;0;0
250;Y04Q;F8EM;51,7;2;2,65;16;29,2;5;0;0;7,7;4;;;
251;3SXT;F8EM;34;1;2,6;9;17;9;0;0;8;;;;
252;6X8I;F8EM;43;1;2,8;16;17;11;0;0;12,5;;39771;1;0
253;6X8I;F8EM;37;1;;5;19;4;0;0;10;;47303;1;1
254;6X8I;F8EM;31,2;1;2,5;9;15,6;9;0;0;8,2;0;46911;0;0
255;0SI2;F8EM;40,2;1;2,7;3;19;2;0;0;9;2;;;
256;6X8I;F8EM;65,6;3;2,5;9;42,8;2;0;0;9,5;2;12975;0;0
257;Y04Q;F8EM;58;3;;9;38,5;1;0;0;6,1;2;;;
258;WUMG;EL2E;53,1;2;2,6;3;29;1;0;0;8,7;;;;
259;8HJY;F8EM;30;1;2,5;5;15;4;0;0;5;1;;;
260;6X8I;F8EM;102,4;3;;8;53,2;3;0;0;19,3;1;39393;1;0
261;187Y;F8EM;83,69;4;;17;40,59;7;0;0;21,4;;;;
262;6X8I;F8EM;158;4;;12;88;4;0;0;40;;25799;0;2
263;6X8I;F8EM;140,6;2;3,5;8;39,8;7;0;0;49,2;4;32537;0;3
264;8HJY;F8EM;53;2;;5;29;4;0;0;9;0;;;
265;TXOA;9N9J;37,3;1;2,8;17;15,2;14;0;0;10,3;0;;;
266;6X8I;F8EM;37,9;1;;10;17,8;6;0;0;8,3;2;14286;0;1
267;6X8I;F8EM;120;3;2,75;20;63;18;0;0;16;5;39204;2;3
268;LV8Y;F8EM;46;2;2,5;5;30;5;0;0;7;;;;
269;6X8I;F8EM;60,1;3;2,65;9;43;1;0;0;7;2;28530;0;1
270;6X8I;F8EM;34;1;2,6;10;18;8;0;0;8;1;32831;1;1
271;S4Y8;F8EM;43,8;2;2,7;4;29;2;0;0;5;1;;;
272;FMVZ;IZIQ;52,03;2;;18;25,41;18;0;0;11,52;;11976;0;0
273;6X8I;F8EM;57,2;2;2,5;10;29,8;1;0;0;11,6;;35966;1;3
274;6X8I;F8EM;37,55;1;;14;15,2;10;0;0;8,9;2;22098;0;2
275;FMVZ;IZIQ;31;1;2,75;9;15;9;0;0;10;2;18471;0;0
276;6X8I;F8EM;108,4;3;3,06;7;;6;0;0;;;26819;1;1
277;6X8I;F8EM;65;3;;15;44;11;0;0;11;2;16124;2;1
278;6X8I;F8EM;56,7;2;3,2;5;34,1;5;0;0;9,6;;22800;1;1
279;6X8I;F8EM;134;4;;18;78;17;0;0;30;;34991;0;0
280;6X8I;F8EM;63;2;;9;34,4;5;0;0;;0;40880;0;0
281;187Y;IZIQ;45,2;1;2,72;18;18;12;0;0;14,2;2;;;
282;6X8I;F8EM;115;2;;5;65;2;0;0;14;;23537;2;2
283;HM6W;F8EM;62,4;3;2,5;5;36,7;5;0;0;8,1;;;;
284;6823;F8EM;30,5;1;2,6;4;17,2;2;0;0;5;1;19516;2;1
285;6X8I;F8EM;31,4;1;2,6;9;16;7;0;0;9;;18927;0;1
286;ZYPN;F8EM;54;3;;5;36;5;0;0;5;0;;;
287;E66G;F8EM;31,1;1;2,5;5;18,1;4;0;0;6,5;0;57893;1;2
288;6X8I;F8EM;41,68;1;2,7;19;19;4;0;0;10,44;;37792;0;0
289;6X8I;F8EM;33;1;;6;18;4;0;0;7;0;45133;0;0
290;YVBQ;F8EM;51;2;2,54;9;30,5;9;0;0;7;1;45825;1;0
291;6X8I;F8EM;70;3;2,51;5;47,4;1;0;0;8;;19859;1;1
292;A7AP;F8EM;61;2;2,5;9;32;6;0;0;14,4;2;;;
293;W0ZR;F8EM;42,8;2;;5;32;5;0;0;5;;;;
294;6X8I;F8EM;37;1;2,5;16;18,2;15;0;0;8,8;1;41359;2;0
295;C3YJ;F8EM;35;1;2,7;15;17;3;0;0;9;2;;;
296;0SI2;F8EM;28;1;;5;17;1;0;0;6;0;;;
297;6X8I;F8EM;56,8;2;;12;;11;0;0;;;16540;1;0
298;R9I0;F8EM;42,8;2;;5;30;3;0;0;4,5;0;;;
299;6X8I;F8EM;68;2;;8;37;3;0;0;13;0;17674;1;2
300;6X8I;F8EM;70,6;3;2,6;9;48;6;0;0;8;;15895;1;0
301;FJEG;F8EM;47;2;;9;29;7;0;0;9;;25316;1;0
302;L1Y8;F8EM;31;1;2,55;5;17,5;1;0;0;5,4;0;72005;3;1
303;YVBQ;F8EM;51,08;2;;5;26,4;4;0;0;10,2;1;39858;0;0
304;6X8I;F8EM;32;1;2,5;5;;1;0;0;;;42629;0;0
305;6X8I;F8EM;70,8;3;;5;50,9;5;0;0;8,2;;25335;0;0
306;PJ2I;F8EM;116;3;2,5;9;61,8;9;0;0;16,3;2;;;
307;6X8I;F8EM;65;2;2,78;25;30;9;0;0;12;;16346;0;0
308;R27I;F8EM;83,9;3;2,6;5;51,8;2;0;0;9,6;;27245;0;0
309;6X8I;F8EM;58;3;;5;42;1;0;0;6;;10980;0;0
310;4T1U;IZIQ;31;1;2,5;5;18;2;0;0;5,5;;55619;0;0
311;6X8I;F8EM;86;3;2,8;25;47;3;0;0;13;5;52192;0;1
312;6X8I;F8EM;31;1;2,65;9;18;4;0;0;6,5;;44931;1;0
313;N6YS;IZIQ;49;3;;5;34;2;0;0;5,5;1;;;
314;6X8I;F8EM;48,6;2;;3;32,5;3;0;0;8;;42608;0;0
315;6X8I;F8EM;108;4;;6;76,9;2;0;0;11,2;;25301;1;0
316;6X8I;F8EM;46,3;2;;6;28,8;2;0;0;9;0;31327;0;0
317;6X8I;F8EM;29,4;1;;5;15,1;4;0;0;7,3;;42365;3;1
318;6X8I;F8EM;67;1;2,84;9;37;7;0;0;17;1;23988;1;1
319;6X8I;F8EM;59,7;3;2,5;5;47,4;4;0;0;6,4;1;43095;0;0
320;6X8I;F8EM;97;3;;10;51,2;7;0;0;18,4;0;23617;0;1
321;E66G;F8EM;39,7;1;2,55;4;21;1;0;0;7,4;0;57025;2;2
322;0SI2;F8EM;25;1;;5;;5;0;0;;0;;;
323;6X8I;F8EM;72;2;2,8;10;34;9;0;0;17;0;23756;1;1
324;6X8I;F8EM;62;2;;28;30;22;0;0;10;1;19971;0;1
325;6X8I;F8EM;42,1;2;2,5;9;28;2;0;0;7;;13889;0;0
326;6X8I;F8EM;45,4;2;;5;27,8;3;0;0;7,1;;19947;1;2
327;6X8I;F8EM;32;1;2,8;12;17;2;0;0;6;;13482;0;1
328;6X8I;F8EM;45,8;2;2,55;9;26,7;9;0;0;6,3;2;14107;0;1
329;6X8I;F8EM;67;2;;17;34;15;0;0;13;0;27918;1;1
330;6X8I;F8EM;50;3;;5;31,5;1;0;0;5;;21341;2;1
331;E66G;F8EM;124,8;2;;4;37,1;1;0;0;14,1;;54164;0;0
332;6X8I;F8EM;32,9;1;;12;17,9;7;0;0;6,2;;47694;0;0
333;4KU1;9N9J;57;2;2,76;18;29;3;0;0;13;;;;
334;6X8I;F8EM;58;2;3;5;36,6;2;0;0;7,9;0;39136;2;1
